Id,Sales
1,5959.07666015625
2,7543.38818359375
3,9041.359375
4,7031.6201171875
5,7181.05029296875
6,5675.6259765625
7,7334.08984375
8,8103.1845703125
9,5451.54248046875
10,5754.7431640625
11,6824.02099609375
12,7734.044921875
13,7094.18115234375
14,8402.8359375
15,5998.03564453125
16,4758.72607421875
17,5791.93505859375
18,9590.51171875
19,9889.287109375
20,9604.890625
21,7375.15625
22,4612.53564453125
23,6161.70947265625
24,4580.8935546875
25,8015.67919921875
26,10049.3515625
27,9228.8857421875
28,5860.66162109375
29,4990.3515625
30,4569.76708984375
31,5787.6064453125
32,10316.89453125
33,6654.57958984375
34,5473.296875
35,5420.73779296875
36,8070.630859375
37,3802.140625
38,6472.0087890625
39,4368.71044921875
40,6951.56201171875
41,6906.23828125
42,5760.73388671875
43,7597.34765625
44,6894.9453125
45,5014.806640625
46,6639.91015625
47,7368.14697265625
48,11578.640625
49,6106.21826171875
50,8313.244140625
51,7310.1591796875
52,9037.609375
53,6646.302734375
54,9274.6162109375
55,4644.41357421875
56,4993.35546875
57,6248.716796875
58,5909.57421875
59,9301.109375
60,7825.5546875
61,5605.1982421875
62,7530.19921875
63,6710.1435546875
64,10065.705078125
65,4059.654541015625
66,12006.572265625
67,5082.25439453125
68,5999.48876953125
69,8165.4921875
70,4834.83154296875
71,6492.99755859375
72,6480.7978515625
73,7567.873046875
74,5762.904296875
75,5609.412109375
76,7477.87890625
77,7953.32373046875
78,7288.87158203125
79,5260.04052734375
80,6568.93994140625
81,10135.5517578125
82,6831.1767578125
83,4710.01806640625
84,6916.23681640625
85,5830.09619140625
86,5685.4150390625
87,7464.46923828125
88,3985.448974609375
89,7894.953125
90,6105.5078125
91,7099.01318359375
92,6699.84228515625
93,4661.33740234375
94,5769.16748046875
95,5224.43505859375
96,7624.857421875
97,8339.607421875
98,4996.4755859375
99,4781.47607421875
100,7261.42431640625
101,6128.91357421875
102,6517.216796875
103,7627.8466796875
104,6681.6826171875
105,7367.521484375
106,5696.94873046875
107,4914.83447265625
108,7056.0654296875
109,8249.3994140625
110,8333.7158203125
111,8274.5029296875
112,7957.90625
113,5686.83056640625
114,8641.3642578125
115,6032.4951171875
116,7420.435546875
117,9135.8603515625
118,6188.8583984375
119,9815.0419921875
120,8319.8505859375
121,7520.603515625
122,6042.1103515625
123,7233.14208984375
124,7712.228515625
125,6406.58935546875
126,4214.638671875
127,5478.2998046875
128,7726.87890625
129,5763.61865234375
130,4586.65087890625
131,8090.49755859375
132,6863.61865234375
133,5774.01123046875
134,5997.4404296875
135,5263.98974609375
136,7423.55712890625
137,7062.5078125
138,7023.3564453125
139,5466.3330078125
140,5497.2138671875
141,6490.86181640625
